X,Y,isinactive,lng,laststopid,vtype,bearing,globalid,lineid,ltype,routeid,delay,course,linename,lf,id,lastupdate,lat,finalstopid,objectid
16.628841,49.217976,false,16.628841,1646,1,180,{C691AD14-7352-4E9D-B52D-82A6BB3B3AF3},26,1,5132,0,02511,26,true,3625,2023/09/29 16:54:49.284+00,49.217976,1223,2988183451
16.653988,49.19611,false,16.653988,1212,0,180,{92B7137A-8789-4C63-B5EC-81BD88B9F235},9,0,5220,0,00910,9,true,1909,2023/09/29 16:54:49.284+00,49.19611,1069,2988183452
16.313457,49.047943,false,16.313457,14499,4,90,{A74D5D5E-3B8A-4BB6-A1F7-BFA9C95A9470},441,4,91,4,43202,441,true,21644,2023/09/29 16:54:49.284+00,49.047943,14701,2988183453
16.37117,49.184452,false,16.37117,14229,4,225,{21354D79-AB5D-4313-ABD4-BACF26B3B5B5},423,4,27,0,42303,423,false,21620,2023/09/29 16:54:49.284+00,49.184452,14502,2988183454
16.881037,48.759254,false,16.881037,15743,4,90,{643C6A09-37DE-42DA-A5EC-66AF216CA308},561,4,48,6,56006,561,false,21818,2023/09/29 16:54:49.284+00,48.759254,15732,2988183455
16.606865,49.161741,false,16.606865,15140,5,0,{D3B9A10E-F26F-4F72-917D-ECC476C7CA08},130,5,24448,0,13006,S3,true,30003,2023/09/29 16:54:49.284+00,49.161741,1146,2988183456
16.736537,48.936974,false,16.736537,15403,5,315,{9EC4123A-82CA-4EBC-B5FA-B01B4F4CBFA7},130,5,14621,0,13003,S3,true,30217,2023/09/29 16:54:49.285+00,48.936974,15403,2988183457
17.38214,48.948371,false,17.38214,19316,5,45,{46B8A9FB-43CC-4396-801A-29334876860A},149,5,2723,0,14902,S91,false,30075,2023/09/29 16:54:49.285+00,48.948371,19316,2988183458
16.607796,49.200462,false,16.607796,1006,0,180,{9BFCA687-E054-4125-A765-B44FB761AB8B},1,0,5231,1,00116,1,true,1833,2023/09/29 16:54:49.285+00,49.200462,1102,2988183459
16.641439,49.202133,false,16.641439,1611,0,180,{026F829E-3185-4AD9-B4FA-2A0E542D2E44},2,0,5227,0,00210,2,true,1935,2023/09/29 16:54:49.285+00,49.202133,15134,2988183460
16.70182,48.853252,false,16.70182,15605,4,45,{6700DCC9-0D0B-4585-B3BB-310E258D7F5D},570,4,46,2,57003,570,true,21440,2023/09/29 16:54:49.286+00,48.853252,15605,2988183461
16.641764,49.203979,false,16.641764,1611,2,0,{FC54266F-EAE3-453F-89F4-767A55E029AB},44,2,5177,0,04406,44,true,2684,2023/09/29 16:54:49.284+00,49.203979,1696,2988183462
17.380306,48.948009,false,17.380306,19316,4,270,{3349E193-FBC5-4F9B-9030-F690E454B706},116,5,2718,0,11603,xS91,false,18087,2023/09/29 16:54:49.285+00,48.948009,19316,2988183463
16.677841,49.19297,false,16.677841,1619,0,0,{D420B736-1E35-41A5-B3EA-D6E8B3C9BC51},10,0,5087,0,01005,10,true,1816,2023/09/29 16:54:49.285+00,49.19297,1073,2988183464
16.607014,49.533817,false,16.607014,12706,4,135,{CC218E0A-84A2-4ABC-B45E-0F383FCBEFE0},254,4,48,0,25401,254,true,21544,2023/09/29 16:54:49.286+00,49.533817,12635,2988183465
16.628052,49.216885,false,16.628052,1646,0,45,{DF77B5E9-CEF0-4E66-9045-A5020F74A3E4},5,0,5217,0,00504,5,true,1945,2023/09/29 16:54:49.286+00,49.216885,1378,2988183466
16.056589,48.851608,false,16.056589,18009,4,0,{D644EFEF-1681-4E0E-9742-F8DDA147CE4E},818,4,17,0,81802,818,false,21126,2023/09/29 16:54:49.286+00,48.851608,18168,2988183467
16.058292,48.846565,false,16.058292,18009,4,135,{9390165F-3FD5-4D62-9AFF-EA18B6D8EE68},815,4,113,0,81501,815,true,21650,2023/09/29 16:54:49.286+00,48.846565,18330,2988183468
16.997091,49.278595,false,16.997091,17421,4,45,{23BF8F4C-4FF3-44A1-801D-2B404823A785},755,4,22,1,75555,755,true,19806,2023/09/29 16:54:49.286+00,49.278595,30013,2988183469
16.884945,49.368233,false,16.884945,17447,4,0,{E00CD2F9-739F-4B3D-88F6-933EBA0B3EBB},750,4,69,0,75002,750,true,21779,2023/09/29 16:54:49.286+00,49.368233,12405,2988183470
16.531412,49.227783,false,16.531412,1226,1,0,{5723C0CF-06F6-4FE6-9978-EF17C4283DB9},30,1,5148,1,03013,30,true,3052,2023/09/29 16:54:49.286+00,49.227783,1062,2988183471
16.960953,49.009716,false,16.960953,16437,4,270,{E07BED02-6CF5-414E-8CB6-423C86AD0EF3},661,4,1,0,10605,661,false,21929,2023/09/29 16:54:49.286+00,49.009716,16439,2988183472
16.597225,49.188641,false,16.597225,1721,0,270,{E9BBFB8E-9031-4C15-A688-42807489CCD5},1,0,5229,0,00113,1,true,1106,2023/09/29 16:54:49.286+00,49.188641,1102,2988183473
16.367964,49.13076,false,16.367964,14325,4,270,{6BE457E4-B051-4A60-BB36-E1F6E24180EC},406,4,39,2,40602,406,true,21614,2023/09/29 16:54:49.286+00,49.13076,14446,2988183474
16.056293,48.851482,false,16.056293,18009,4,225,{4500FA6B-3FBC-4923-9FA6-8E7F6E54CD09},814,4,121,0,43204,814,false,21297,2023/09/29 16:54:49.287+00,48.851482,18321,2988183475
16.614225,49.201206,false,16.614225,1418,0,45,{E71FC983-E294-451E-A3D8-3CA8973858E3},9,0,5216,0,00906,9,true,1830,2023/09/29 16:54:49.287+00,49.201206,1069,2988183476
17.011696,49.366592,false,17.011696,17603,4,315,{13931A9C-2733-4F97-A88B-0D77E84A35DC},756,4,30,0,75601,756,true,21074,2023/09/29 16:54:49.287+00,49.366592,17531,2988183477
16.636133,49.189785,false,16.636133,1598,2,270,{8F7CF8DE-2B2A-4D9F-B776-4FAA49C05C61},77,2,5141,1,07711,77,true,7056,2023/09/29 16:54:49.287+00,49.189785,1716,2988183478
16.583805,49.173103,false,16.583805,1714,2,0,{3B5D68F5-E152-4A77-86CE-6EAB7630383D},69,2,5090,0,06901,69,true,7042,2023/09/29 16:54:49.287+00,49.173103,1037,2988183479
16.627865,49.167393,false,16.627865,1148,2,135,{7C4E6008-36B4-466A-A4C1-6AAF866E4577},40,2,5093,1,04009,40,true,2019,2023/09/29 16:54:49.288+00,49.167393,1681,2988183480
16.73608,48.93787,false,16.73608,15403,4,45,{881F0DE1-49C4-4164-993C-E67F303FFB26},542,4,38,2,54202,542,false,21443,2023/09/29 16:54:49.288+00,48.93787,15729,2988183481
16.623251,49.226971,false,16.623251,1069,0,270,{1C713ADC-0866-4DC3-89D0-241ADB09093B},7,0,5103,0,00904,7,true,1931,2023/09/29 16:54:49.289+00,49.226971,1616,2988183482
16.543552,49.048302,false,16.543552,15137,4,180,{0A2DA0A5-65D6-4495-825C-12F7F25E227D},105,4,21,0,10501,105,true,21327,2023/09/29 16:54:49.289+00,49.048302,15714,2988183483
16.224003,48.872147,false,16.224003,18215,4,225,{77A4C4CA-E35B-4BE4-9DF5-C26EA4C59465},108,4,85,1,10808,108,true,21163,2023/09/29 16:54:49.289+00,48.872147,18009,2988183484
16.673267,49.133308,false,16.673267,1671,2,-1,{3E41C388-E9CE-4CD7-A462-32FB2AC65481},40,2,5104,0,04003,40,true,2028,2023/09/29 16:54:49.290+00,49.133308,1624,2988183485
16.635433,49.192863,false,16.635433,1116,0,90,{BC96F785-BBCC-462B-B928-4C23DF0DDB2E},9,0,5213,2,00914,9,true,1836,2023/09/29 16:54:49.286+00,49.192863,1212,2988183486
16.869186,48.750389,false,16.869186,15752,4,135,{54117B37-35CD-4439-BE3A-7447CFA21238},568,4,13,4,56002,568,true,21889,2023/09/29 16:54:49.286+00,48.750389,15764,2988183487
16.576115,49.191578,false,16.576115,1343,0,315,{8D369A19-7ACC-4F8F-B69C-29B56BE7EEAE},7,0,5504,0,00709,7,true,1841,2023/09/29 16:54:49.286+00,49.191578,1343,2988183488
