#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,_field,_measurement,code,owner
,,0,2023-08-01T00:28:26Z,183,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T01:28:26Z,200,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T02:28:26Z,216,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T04:28:26Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T05:28:26Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T06:28:26Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T07:28:26Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T08:28:26Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T09:28:26Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T10:28:26Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T12:28:26Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T13:28:26Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T14:28:26Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T15:28:26Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T16:28:26Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T17:28:26Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T18:28:27Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T19:28:27Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T20:28:27Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T21:28:27Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T22:28:27Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-01T23:28:27Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T01:28:47Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T02:28:46Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T03:28:47Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T04:28:47Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T05:28:46Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T06:28:47Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T07:28:47Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T08:28:48Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T09:28:47Z,216,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T10:28:48Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T11:28:48Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T12:28:49Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T13:28:48Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T14:28:49Z,189,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T15:28:49Z,175,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T16:28:48Z,166,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T17:28:49Z,150,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T18:28:49Z,146,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T19:28:48Z,116,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T20:28:49Z,116,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T21:28:49Z,116,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T22:28:48Z,116,value,co_8h,BBMLA,SMBrno
,,0,2023-08-02T23:28:50Z,116,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T00:28:50Z,116,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T01:28:56Z,116,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T02:28:56Z,133,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T03:28:56Z,146,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T04:28:56Z,175,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T05:28:57Z,183,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T07:28:56Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T08:28:57Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T09:28:57Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T10:28:56Z,277,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T11:28:57Z,277,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T12:28:57Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T13:28:56Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T14:28:57Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T15:28:57Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T16:28:56Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T17:28:57Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T18:28:58Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T19:28:58Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T20:28:57Z,216,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T21:28:58Z,200,value,co_8h,BBMLA,SMBrno
,,0,2023-08-03T22:28:58Z,200,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T00:28:58Z,200,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T01:28:58Z,200,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T03:28:59Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T04:28:59Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T06:29:06Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T07:29:06Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T08:29:05Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T09:29:06Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T10:29:06Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T11:29:05Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T12:29:06Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T13:29:07Z,216,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T14:29:07Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T16:29:07Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T17:29:07Z,200,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T18:29:06Z,200,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T19:29:07Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T20:29:07Z,216,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T21:29:06Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T22:29:08Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-04T23:29:08Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T00:29:12Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T02:29:13Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T03:29:12Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T04:29:12Z,283,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T05:29:14Z,300,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T06:29:14Z,306,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T07:29:14Z,300,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T08:29:14Z,316,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T09:29:14Z,333,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T10:29:14Z,333,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T11:29:14Z,335,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T12:29:14Z,320,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T14:29:15Z,320,value,co_8h,BBMLA,SMBrno
,,0,2023-08-05T15:29:14Z,316,value,co_8h,BBMLA,SMBrno
