Result: _result
Table: keys: [_start, _stop, _field, _measurement, code, owner]
                   _start:time                      _stop:time           _field:string     _measurement:string             code:string            owner:string                      _time:time                  _value:float
------------------------------  ------------------------------  ----------------------  ----------------------  ----------------------  ----------------------  ------------------------------  ----------------------------
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-07-31T07:28:24.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-07-31T08:28:25.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-07-31T09:28:25.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-07-31T10:28:24.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-07-31T12:28:25.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-07-31T13:28:24.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-07-31T14:28:25.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-07-31T15:28:25.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-07-31T16:28:24.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-07-31T18:28:25.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-07-31T19:28:24.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-07-31T20:28:25.000000000Z                     16.580812
